Items ,Description,Predefined_options
behavioural_assay_standardized,Provide the assay being used to assess the behaviour using standardized terminology. This will be developed after extraction. ,N/A
Statistics ,,
data_source,"Provide the location of where the extracted data was reported such as text (e.g.,text_p4), figure (e.g., fig2), table (e.g., table3), or supplementary material (e.g.,supplement_fig2).",N/A
data_file,"If the data reported in a table or figure, please screenshot the source and save in the following formate author_year_fign or author_year_tablen (n being the figurte or table number). If the data is not reported in a figure or table state ""N/A"".",N/A
control_effective_n,"For studies which assess collective behaviours such as shoaling or schooling. Provide the effect sample size of the control group (i.e., unmanipulated individuals)calculated using formula provided in Rutkowska et al., 2014, where clutch sample size is taken as shoal sample size and egg sample size is taken as fish sample size. We assumbed the inter-class correlation (ICC) as 0.5.",N/A
control_shoal_n,"For studies which assess collective behaviours such as shoaling or schooling. Provide the number of shoals used in the control group (i.e., unmanipulated individuals). If the number of shoals is not provided estimate the number of shoals using the number of fish divided by the median shoal size for that species.",N/A
control_fish_n,"For studies which assess collective behaviours such as shoaling or schooling. Provide the number of fish used in the control group  (i.e., unmanipulated individuals).",N/A
control_n,"Provide the sample size of control group (i.e., unmanipulated individuals). If sample size is provided as a range, use the lowest value in the range.",N/A
control_mean,"Provide the mean of control group (i.e., unmanipulated individuals).",N/A
control_sd,"Provide the standard deviation of control group (i.e., unmanipulated individuals). If measurement uncertainties were reported as other forms such as confidence interval, convert it to standard deviation or standard error (see below) and take notes in the ""statistic_comment_control"" column.",N/A
control_shoal_sd,"For studies which assess collective behaviours such as shoaling or schooling. Calculate and provide the standard deviation of the control group assuming n = number of shoals for control group (i.e., unmanipulated individuals)",N/A
control_fish_sd,"For studies which assess collective behaviours such as shoaling or schooling. Calculate and provide the standard deviation of the control group assuming n = number of fish for control group (i.e., unmanipulated individuals)",N/A
control_se,"Provide the standard error of control group(i.e., unmanipulated group). If measurement uncertainties were reported as other forms such as confidence interval, convert it to SD or SE  and take notes in the ""statistics_comment_control"" column.",N/A
statistics_comment_control,Provide a note regarding the control statistics such as any calculations needed. ,N/A
treatment_effective_n,"For studies which assess collective behaviours such as shoaling or schooling. Provide the effect sample size of the  treatment group  (i.e., manipulated individuals calculated using formula provided in Rutkowska et al., 2014, where clutch sample size is taken as shoal sample size and egg sample size is taken as fish sample size. We assumbed the inter-class correlation (ICC) as 0.5.",N/A
treatment_shoal_n,"For studies which assess collective behaviours such as shoaling or schooling. Provide the number of shoals used in the  treatment group  (i.e., manipulated individuals).. If the number of shoals is not provided estimate the number of shoals using the number of fish divided by the median shoal size for that species.",N/A
treatment_fish_n,"For studies which assess collective behaviours such as shoaling or schooling. Provide the number of fish used in the treatment group  (i.e., manipulated individuals).",N/A
treatment_n,"Provide the sample size of treatment group (i.e., manipulated individuals). If sample size is provided as a range, use the lowest value in the range.",N/A
treatment_mean,"Provide the mean of treatment group  (i.e., manipulated individuals).",N/A
treatment_sd,"Provide the standard deviation of treatment group (i.e., manipulated individuals). If measurement uncertainties were reported as other forms such as confidence interval, convert it to SD or SE (see below) and take notes in the ""statistics_comments_treatment"" column.",N/A
control_shoal_sd,"For studies which assess collective behaviours such as shoaling or schooling. Calculate and provide the standard deviation of the control group assuming n = number of shoals of treatment group (i.e., manipulated individuals).",N/A
control_fish_sd,"For studies which assess collective behaviours such as shoaling or schooling. Calculate and provide the standard deviation of the control group assuming n = number of fish of treatment group (i.e., manipulated individuals).",N/A
treatment_se,"Provide the standard error of treatment group (i.e., exposed group). If measurement uncertainties were reported as other forms such as confidence interval, convert it to standard deviation or standard error (see below) and take notes in the ""statistics_comments_treatment"" column.",N/A
statistics_comment_treatment,Provide notes regarding the control statistics such as any calculations needed. ,N/A
Author_contacted,,
contact_author,Provide whether the primary authors were contacted for missing data.,Yes
,,No 
contacted_date,"Provide the date the authors were contacted for missing data. If not contacted state ""N/A"".",N/A
contact_response,"Provide whether the authors provided the data of our interest. If not contacted state ""N/A"".",Yes
,,No
,,
,,
,,
,,
,,
,,
,,
Some extraction decisions,,
courtship when free to interact is both male and female,when separate it is the individual behaviour,
