key,title,year,month,day,journal,issn,volume,issue,pages,authors,url,language,publisher,location,abstract,notes,doi,keywords,pubmed_id,pmc_id,title2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rayyan-1227188867,Shifts in seawater chemistry disrupt trophic links within a simple shoreline food web,2019,1,1,,298549,190,4,,"Jellison B.M., Gaylord B.",,,Springer Verlag,,"Marine intertidal systems have long served as focal environments for ecological research, yet these environments are changing due to the entry of human-produced carbon dioxide into seawater, which causes ‘ocean acidification’ (OA). One component of OA is a decline in seawater pH, an alteration known to disrupt organism behaviors underlying predator–prey interactions. To date, however, studies examining OA’s effects on feeding relationships consider predominantly simple direct interactions between consumers and their food sources. Here, we extended these established approaches to test how decreased seawater pH might alter cascading effects that span tiered linkages in trophic networks. We employed a model shoreline food web incorporating a sea star predator (Leptasterias hexactis), an herbivorous snail prey (Tegula funebralis), and a common macroalgal resource for the prey (Mazzaella flaccida). Results demonstrate direct negative effects of low pH on anti-predator behavior of snails, but also weakened indirect interactions, driven by increased snail consumption of macroalgae even as sea stars ate more snails. This latter outcome arose because low pH induced ‘foolhardy’ behaviors in snails, whereby their flight responses were supplanted by other activities that allowed for foraging. These findings highlight the potential for human-induced changes in seawater chemistry to perturb prey behaviors and trophic dynamics with accompanying community-level consequences. © 2019, Springer-Verlag GmbH Germany, part of Springer Nature.",,10.1007/s00442-019-04459-0,,31327076,NA,shifts in seawater chemistry disrupt trophic links within a simple shoreline food web,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rayyan-1227188868,Composition and endocrine effects of water collected in the Kibale national park in Uganda,2019,1,1,,2697491,251,NA,,"Spirhanzlova P., Fini J.-B., Demeneix B., Lardy-Fontan S., Vaslin-Reimann S., Lalere B., Guma N., Tindall A., Krief S.",,,Elsevier Ltd,,"Pesticides are used worldwide with potential harmful effects on both fauna and flora. The Kibale National Park in Uganda, a site renowned for its biodiversity is surrounded by tea, banana and eucalyptus plantations as well as maize fields and small farms. We previously showed presence of pesticides with potential endocrine disruptive effects in the vicinity. To further investigate the water pollution linked to agricultural pressure in this protected area, we implemented a complementary monitoring strategy based on: analytical chemistry, effects based methods and the deployment of Polar Organic Chemical Integrative Samplers (POCIS). Chemical analysis of the POCIS extracts revealed the presence of 13 pesticides: carbofuran, DEET, 2.4-D amine, carbaryl, ametryn, isoproturon, metolachlor, terbutryn, dimethoate, imidacloprid, picaridin, thiamethoxam, carbendazim, with the first three being present in the largest quantities. Water samples collected at the POCIS sampling sites exhibited thyroid and estrogen axis disrupting activities in vivo, in addition to developmental and behaviour effects on Xenopus laevis tadpoles model. Based on our observations, for the health of local human and wildlife populations, further monitoring as well as actions to reduce agrochemical use should be considered in the Kibale National Park and in regions exposed to similar conditions. © 2019 Elsevier LtdWater collected in Kibale national park in Uganda contains 13 pesticides and exhibits thyroid and estrogen axis disruption in aquatic larvae. © 2019 Elsevier Ltd",,10.1016/j.envpol.2019.05.006,Uganda,31103006,NA,composition and endocrine effects of water collected in the kibale national park in uganda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rayyan-1227188869,Mate choice in a changing world,2019,1,1,,14647931,94,4,,Candolin U.,,,Blackwell Publishing Ltd,,"Human activities by altering environmental conditions are influencing the mate choice of animals. This is by impacts on: (i) the production and expression of traits evaluated by mate choosers; (ii) the transmission of information about potential mates to choosers; (iii) the reception and processing of the information by choosers; and (iv) the final mate choice. Here, I first discuss how these four stages of the mate-choice process can be altered by environmental change, and how these alterations, in turn, can influence individuals, populations, and communities. Much evidence exists for human-induced environmental changes influencing mate choice, but the consequences for the fitness of courters and choosers are less well known, and even less is known about the impact on population dynamics, species interactions and community composition. More evidence exists for altered mate-choice systems influencing interspecific matings and thereby community composition and biodiversity. I then consider whether plastic adjustments and evolutionary changes can rescue adaptive mate-choice systems, and reflect on the possibility of non-adaptive mate-choice systems becoming less maladaptive under environmental change. Much evidence exists for plastic adjustments of mate-choice systems, but whether these are adaptive is seldom known, as is the contribution of genetic changes. Finally, I contemplate the possibility of mate-choice systems rescuing populations from decline in changing environments. I explain how this is context dependent with both positive and negative outcomes possible. In summary, while much evidence exists for human-induced environmental changes influencing mate-choice systems, less is known about the consequences for ecological and evolutionary processes. Considering the importance that mate choice plays in determining individual fitness and population viability, the effects of environmental change on mate-choice systems should be considered in studies on the ecological and evolutionary consequences of human disturbances to habitats. © 2019 Cambridge Philosophical Society",,10.1111/brv.12501,,30762277,NA,mate choice in a changing world,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rayyan-1227188870,Slow-Release Implants for Manipulating Contaminant Exposures in Aquatic Wildlife: A New Tool for Field Ecotoxicology,2019,1,1,,0013936X,53,14,,"McCallum E.S., Cerveny D., Fick J., Brodin T.",,,American Chemical Society,,"Field-based ecotoxicology studies are invaluable for uncovering the effects of contaminants of emerging concern (CECs) on aquatic organisms. However, large-scale exposures are still very rare due to prohibitive costs, the availability of replicated habitats, and the potential for exposure to cause lasting damage to the environment. Here, we evaluated the viability of internal slow-release implants as an alternative method for manipulating CEC exposures in aquatic wildlife using two fat-based carriers (coconut oil and vegetable shortening). We treated roach (Rutilus rutilus) with implants containing a high (50 μg/g), low (25 μg/g), or control (0 μg/g) concentration of the behavior-modifying pharmaceutical oxazepam. We then measured oxazepam uptake in four tissues (plasma, muscle, liver, and the brain) over 1 month. The two carriers released oxazepam differently: coconut oil was the superior implant type because it delivered a more consistent dose across time, while vegetable shortening released oxazepam rapidly at the start of the exposure period. For both carriers and treatments, the brain and liver contained the most oxazepam. Overall, the method is a promising technique for controlled manipulations of pharmaceuticals in fish, and we have provided some of the first data on the suitability and contaminant release kinetics from different implant types. © 2019 American Chemical Society.",,10.1021/acs.est.9b01975,,31067036,NA,slowrelease implants for manipulating contaminant exposures in aquatic wildlife a new tool for field ecotoxicology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rayyan-1227188871,"Global scanning of selective serotonin reuptake inhibitors: occurrence, wastewater treatment and hazards in aquatic systems",2019,1,1,,2697491,250,NA,,"Mole R.A., Brooks B.W.",,,Elsevier Ltd,,"As the global population becomes more concentrated in urban areas, resource consumption, including access to pharmaceuticals, is increasing and chemical use is also increasingly concentrated. Unfortunately, implementation of waste management systems and wastewater treatment infrastructure is not yet meeting these global megatrends. Herein, pharmaceuticals are indicators of an urbanizing water cycle; antidepressants are among the most commonly studied classes of these contaminants of emerging concern. In the present study, we performed a unique global hazard assessment of selective serotonin reuptake inhibitors (SSRIs) in water matrices across geographic regions and for common wastewater treatment technologies. SSRIs in the environment have primarily been reported from Europe (50%) followed by North America (38%) and Asia-Pacific (10%). Minimal to no monitoring data exists for many developing regions of the world, including Africa and South America. From probabilistic environmental exposure distributions, 5th and 95th percentiles for all SSRIs across all geographic regions were 2.31 and 3022.1 ng/L for influent, 5.3 and 841.6 ng/L for effluent, 0.8 and 127.7 ng/L for freshwater, and 0.5 and 22.3 ng/L for coastal and marine systems, respectively. To estimate the potential hazards of SSRIs in the aquatic environment, percent exceedances of therapeutic hazard values of specific SSRIs, without recommended safety factors, were identified within and among geographic regions. For influent sewage and wastewater effluents, sertraline exceedances were observed 49% and 29% of the time, respectively, demonstrating the need to better understand emerging water quality hazards of SSRIs in urban freshwater and coastal ecosystems. This unique global review and analysis identified regions where more monitoring is necessary, and compounds requiring toxicological attention, particularly with increasing aquatic reports of behavioral perturbations elicited by SSRIs. © 2019 Elsevier Ltd",,10.1016/j.envpol.2019.04.118,Serotonin Uptake Inhibitors,31085468,NA,global scanning of selective serotonin reuptake inhibitors occurrence wastewater treatment and hazards in aquatic systems,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rayyan-1227188872,Use of the Chemcatcher® passive sampler and time-of-flight mass spectrometry to screen for emerging pollutants in rivers in Gauteng Province of South Africa,2019,1,1,,1676369,191,6,,"Rimayi C., Chimuka L., Gravell A., Fones G.R., Mills G.A.",,,Springer International Publishing,,"Many rivers in urbanised catchments in South Africa are polluted by raw sewage and effluent to an extent that their ecological function has been severely impaired. The Hennops and Jukskei Rivers lying in the Hartbeespoort Dam catchment are two of the worst impacted rivers in South Africa and are in need of rehabilitation. Passive sampling (Chemcatcher® with a HLB receiving phase) together with high-resolution tandem mass spectrometry–targeted screening was used to provide high sensitivity and selectivity for the identification of a wide range of emerging pollutants in these urban waters. Over 200 compounds, including pesticides, pharmaceuticals and personal care products, drugs of abuse and their metabolites were identified. Many substances (~ 180) being detected for the first time in surface water in South Africa. General medicines and psychotropic drugs were the two most frequently detected groups in the catchment. These accounted for 49% of the emerging pollutants found. Of the general medicines, antihypertensive agents, beta-blocking and cardiac drugs were the most abundant (28%) classes detected. The Hennops site, downstream of a dysfunctional wastewater treatment plant, was the most polluted with 123 substances detected. From the compounds detected, peak intensity–based prioritisation was used to identify the five most abundant pollutants, being in the order caffeine > lopinavir > sulfamethoxazole > cotinine > trimethoprim. This work provides the largest available high-quality dataset of emerging pollutants detected in South African urban waters. The data generated in this study provides a solid foundation for subsequent work to further characterise (suspect screening) and quantify (target analysis) these substances. © 2019, The Author(s).",,10.1007/s10661-019-7515-z,South Africa;Mass Spectrometry,31115701,NA,use of the chemcatcher® passive sampler and timeofflight mass spectrometry to screen for emerging pollutants in rivers in gauteng province of south africa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rayyan-1227188873,Antidepressants in Surface Waters: Fluoxetine Influences Mosquitofish Anxiety-Related Behavior at Environmentally Relevant Levels,2019,1,1,,0013936X,53,10,,"Martin J.M., Bertram M.G., Saaristo M., Fursdon J.B., Hannington S.L., Brooks B.W., Burket S.R., Mole R.A., Deal N.D.S., Wong B.B.M.",,,American Chemical Society,,"Pharmaceutical contamination is an increasing problem globally. In this regard, the selective serotonin reuptake inhibitors (SSRIs) - a group of antidepressants - are particularly concerning. By disrupting the serotonergic system, SSRIs have the potential to affect ecologically important behaviors in exposed wildlife. Despite this, the nature and magnitude of behavioral perturbations resulting from environmentally relevant SSRI exposure among species is poorly understood. Accordingly, we investigated the effects of two field-realistic levels of the SSRI fluoxetine (61 and 352 ng/L) on sociability and anxiety-related behaviors in eastern mosquitofish (Gambusia holbrooki) for 28 days. Additionally, we measured whole-body tissue concentrations of fluoxetine and norfluoxetine. We found that fluoxetine altered anxiety-related behavior but not sociability. Specifically, female fish showed reduced anxiety-related behavior at the lower treatment level, while males showed an increase at the higher treatment level. In addition, we report a biomass-dependent and sex-specific accumulation of fluoxetine and norfluoxetine, with smaller fish showing higher relative tissue concentrations, with this relationship being more pronounced in males. Our study provides evidence for nonmonotonic and sex-specific effects of fluoxetine exposure at field-realistic concentrations. More broadly, our study demonstrated that neuroactive pharmaceuticals, such as fluoxetine, can affect aquatic life by causing subtle but important shifts in ecologically relevant behaviors. © 2019 American Chemical Society.",,10.1021/acs.est.9b00944,Fluoxetine;Anxiety;Antidepressive Agents,31034220,NA,antidepressants in surface waters fluoxetine influences mosquitofish anxietyrelated behavior at environmentally relevant levels,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rayyan-1227188874,Context-specific behavioural changes induced by exposure to an androgenic endocrine disruptor,2019,1,1,,489697,664,NA,,"Bertram M.G., Martin J.M., Saaristo M., Ecker T.E., Michelangeli M., Deal N.D.S., Lim S.L., O'Bryan M.K., Wong B.B.M.",,,Elsevier B.V.,,"Pharmaceutical contaminants are being detected with increased frequency in organisms and ecosystems worldwide. This represents a major environmental concern given that various pharmaceuticals act on drug targets that are evolutionarily conserved across diverse taxa, are often persistent in the environment, and can bioconcentrate in organisms and bioaccumulate in food chains. Despite this, relatively little is known about the potential for pharmaceutical contaminants to affect animal behaviour, especially across multiple fitness-related contexts. Here, we investigated impacts of 21-day exposure of wild-caught male eastern mosquitofish (Gambusia holbrooki) to a field-realistic level of the veterinary pharmaceutical 17β-trenbolone—a growth-promoting steroid used extensively in beef production worldwide and a potent androgenic endocrine disruptor repeatedly detected in surface waters affected by livestock effluent run-off. First, we examined male boldness, activity, and exploratory behaviour in a novel environment (maze arena) and found no significant effect of 17β-trenbolone exposure. Second, the same males were tested in a reproductive assay for their tendency to associate with a stimulus (unexposed) female behind a partition. Exposed males exhibited reduced association behaviour, taking longer to first associate with, and spending less time within close proximity to, a female. Third, all males were assayed for sperm function (computer-assisted sperm analysis, sperm viability) or quantity (total sperm count) and, although no significant main effects of 17β-trenbolone were seen on sperm traits, exposure altered the relationship between male morphology and sperm function. Lastly, morphological traits were assessed and exposed males were found to have, on average, increased mass relative to length. In combination, these results demonstrate that exposure to a field-realistic level of 17β-trenbolone can produce subtle but important trait alterations in male fish—including context-specific behavioural changes, disruption of key sperm function trade-offs, and altered morphology—with potential impacts on exposed wildlife. © 2019 Elsevier B.V.",,10.1016/j.scitotenv.2019.01.382,,30743111,NA,contextspecific behavioural changes induced by exposure to an androgenic endocrine disruptor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rayyan-1227188875,Biomarker and behavioural responses of an estuarine fish following acute exposure to fluoxetine,2019,1,1,,1411136,147,NA,,"Duarte I.A., Pais M.P., Reis-Santos P., Cabral H.N., Fonseca V.F.",,,Elsevier Ltd,,"Antidepressants such as fluoxetine are frequently detected in estuaries and can have profound effects on non-target organisms by interfering with the neural system and affecting essential physiological processes and behaviours. In this context, short-term effects of fluoxetine exposure were analysed in the common goby Pomatoschistus microps, an estuarine resident fish species. Two experiments were conducted with fish exposed to: i)fluoxetine concentrations within the μg/L range for 96 h (0.1, 0.5, 10 and 100 μg/L)and ii)fluoxetine concentrations within the mg/L range for 1 h (1, 5 and 10 mg/L). Acute toxicity was assessed via multiple biomarker responses, namely: activity levels of antioxidant (superoxide dismutase and catalase)and detoxification enzymes (ethoxyresorufin O-deethylase and glutathione S-transferase); and biomarkers of effects (lipid peroxidation and DNA damage)and of neurotoxicity (acetylcholinesterase inhibition). Furthermore, behavioural responses concerning activity (active time, movement delay and number of active individuals)and feeding (number of feeding individuals)were also recorded and analysed. Acute fluoxetine exposure for 96 h (in the μg/L range)reduced antioxidant CAT activity with increasing concentrations but had no significant effect on SOD activity. Biotransformation enzymes showed bell-shaped response curves, suggesting efficient fluoxetine metabolism at concentrations up to 10 μg/L. No significant damage (LPO and DNAd)was observed at both concentration ranges (μg/L and mg/L), yet 1 h exposure to higher fluoxetine concentrations (mg/L range)inhibited acetylcholinesterase activity (up to 37%). Fluoxetine (at mg/L)also decreased the number of both feeding and active individuals (by 67%), decreased fish active time (up to 93%)and increased movement delay almost 3-fold (274%). Overall, acutely exposed P. microps were able to cope with fluoxetine toxicity at the μg/L range but higher concentrations (mg/L)affected fish cholinergic system and behavioural responses. © 2019 Elsevier Ltd",,10.1016/j.marenvres.2019.04.002,Biological Markers;Fluoxetine,30987769,NA,biomarker and behavioural responses of an estuarine fish following acute exposure to fluoxetine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rayyan-1227188876,Environmentally relevant concentrations of bifenthrin affect the expression of estrogen and glucocorticoid receptors in brains of female western mosquitofish,2019,1,1,,0166445X,209,NA,,"Ligocki I.Y., Munson A., Farrar V., Viernes R., Sih A., Connon R.E., Calisi R.M.",,,Elsevier B.V.,,"In recent decades, pyrethroid pesticides have been deemed a safer alternative to previously used pesticides. While some evidence supports this assumption in mammals and birds, exposure to certain pyrethroids can affect concentrations of hormones vital to reproduction in fish. Thus, we hypothesized that pyrethroid exposure impacts fish reproductive behavior and the expression of genes associated with reproduction. We tested our hypothesis by examining effects of the widely used pyrethroid pesticide, bifenthrin, on the reproductive behaviors of the broadly distributed livebearing western mosquitofish, Gambusia affinis. We exposed sexually mature female fish to one of five environmentally relevant concentrations of bifenthrin and conducted behavioral assays to assess reproductive, social, and space use behaviors before and after exposure. We did not detect changes in behaviors measured in response to bifenthrin. However, exposure was associated with increased expression of an estrogen receptor gene (ER-α) and glucocorticoid receptor (GR) in brain tissue at bifenthrin concentrations at concentrations of 5.90 and 24.82 ng/L, and 5.90 and 12.21 ng/L, respectively. Our study supports the perspective that the use of multiple endpoints through integrative approaches is essential for understanding the cumulative impact of pollutants. Integrating physiological, morphological, and behavioral investigations of nonlethal concentrations of pollutants like bifenthrin may heighten our potential to predict their impact on individuals, populations, and communities. © 2018 Elsevier B.V.",,10.1016/j.aquatox.2018.12.001,"Brain;Receptors, Glucocorticoid;Glucocorticoids;Estrogens",30769158,NA,environmentally relevant concentrations of bifenthrin affect the expression of estrogen and glucocorticoid receptors in brains of female western mosquitofish,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rayyan-1227188877,Behavioural effects of psychoactive pharmaceutical exposure on European perch (Perca fluviatilis) in a multi-stressor environment,2019,1,1,,489697,655,NA,,"Saaristo M., Lagesson A., Bertram M.G., Fick J., Klaminder J., Johnstone C.P., Wong B.B.M., Brodin T.",,,Elsevier B.V.,,"With the ability to resist biodegradation and exert therapeutic effects at low concentrations, pharmaceutical contaminants have become environmental stressors for wildlife. One such contaminant is the anxiolytic oxazepam, a psychoactive pharmaceutical that is frequently detected in surface waters globally. Despite growing interest in understanding how wildlife respond to anxiolytics, synergistic effects of pharmaceuticals and other abiotic (e.g. temperature) and biotic (e.g. predation risk) stressors remain unclear. Here, using a multi-stressor approach, we investigated effects of 7-day oxazepam exposure (6.5 μg/L) on anxiety-related behaviours in juvenile European perch (Perca fluviatilis). The multi-stressor approach was achieved by exposing perch to oxazepam at two temperatures (10 °C and 18 °C), and at two predation risk regimes—generated using chemical cues from the northern pike (Esox lucius). Our exposures resulted in a successful uptake of the drug from the water, i.e., oxazepam was measured in perch muscle tissue at 50 ± 17 ng/g (mean ± SD). We found significant oxazepam-induced effects on boldness, with 76.7% of the treated fish entering the white background (i.e. ‘exposed’ area where exposure to presumed risks are higher) within the first 5 min, compared to 66.6% of the control fish. We also found a significant effect of temperature on total time spent freezing (i.e. staying motionless). Specifically, fish in the low temperature treatments (oxazepam, predation) froze for longer than fish in high temperatures. Our multi-stressor study is the first to uncover how anxiety-related behaviours in wild juvenile fish are altered by changes in water temperature and perceived predation risk. Importantly, our findings highlight the need to focus on multiple stressors to improve understanding of how organisms not only survive, but adapt to, human-induced environmental change. © 2018 Elsevier B.V.",,10.1016/j.scitotenv.2018.11.228,,30577123,NA,behavioural effects of psychoactive pharmaceutical exposure on european perch perca fluviatilis in a multistressor environment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rayyan-1227188878,Stability and uptake of methylphenidate and ritalinic acid in nine-spine stickleback (Pungitius pungitius) and water louse (Asellus aquaticus),2019,1,1,,9441344,26,9,,"McCallum E.S., Lindberg R.H., Andersson P.L., Brodin T.",,,Springer Verlag,,"The presence of human pharmaceuticals in the environment has garnered significant research attention because these compounds may exert therapeutic effects on exposed wildlife. Yet, for many compounds, there is still little research documenting their stability in the water column and uptake in organism tissues. Here, we measured the uptake and stability of methylphenidate (Ritalin®, a frequently prescribed central nervous system stimulant) and its primary metabolite, ritalinic acid, in (1) water only or (2) with nine-spine stickleback and water louse. Methylphenidate degraded to ritalinic acid in both studies faster at a higher temperature (20 °C versus 10 °C), with concentrations of ritalinic acid surpassing methylphenidate after 48–100 h, depending on temperature. The concentration of methylphenidate in stickleback was highest at the first sampling point (60 min), while the concentration in water louse tissues reached comparatively higher levels and peaked after ~ 6 days. Neither stickleback nor water louse took up ritalinic acid in tissues despite being present in the water column. Our findings provide valuable data for use in future risk assessment of methylphenidate and will aid in the design of studies aimed at measuring any ecotoxicological effects on, for example, the behaviour or physiology of aquatic organisms. © 2019, The Author(s).",,10.1007/s11356-019-04557-9,Methylphenidate,30805842,NA,stability and uptake of methylphenidate and ritalinic acid in ninespine stickleback pungitius pungitius and water louse asellus aquaticus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
